time,speed,rpm,fuel_efficiency,engine_temp,throttle,gear,fault_code,fuel
0,0.0,801.0,0.0,75.0,0.0,N,0,50.0
1,0.0,1500.0,5.0,75.0,0.0,1,0,49.899799599198396
2,0.0,1500.0,5.0,75.0,0.0,1,0,49.79959919839679
3,0.0,1500.0,5.0,75.0,0.0,1,0,49.699398797595194
4,0.0,1500.0,5.0,75.0,0.0,1,0,49.59919839679359
5,0.0,1500.0,5.0,75.0,0.0,1,0,49.498997995991985
6,0.0,1500.0,5.0,75.0,0.0,1,0,49.39879759519038
7,0.0,1500.0,5.0,75.0,0.0,1,0,49.298597194388776
8,0.0,1500.0,5.0,75.0,0.0,1,0,49.19839679358717
9,0.0,1500.0,5.0,75.0,0.0,1,0,49.098196392785574
10,0.0,1500.0,5.0,75.0,0.0,1,0,48.99799599198397
11,1.4,1814.97,5.0,75.0,26.37,1,0,48.897795591182366
12,2.09,1970.71,5.0,75.0,11.73,1,0,48.79759519038076
13,2.72,2112.23,5.0,75.0,20.46,1,0,48.69739478957916
14,3.8,2354.85,5.0,75.0,15.18,1,0,48.59719438877755
15,4.32,2472.11,5.0,75.0,16.96,1,0,48.496993987975955
16,5.59,2757.17,5.0,75.0,18.32,1,P0171,48.39679358717435
17,6.5,2963.44,5.0,75.0,25.15,1,0,48.296593186372746
18,7.23,3125.73,5.0,75.0,13.23,1,0,48.19639278557114
19,8.57,3428.8,5.0,75.0,26.56,1,0,48.09619238476954
20,9.66,3673.86,5.0,75.0,24.42,1,0,47.99599198396793
21,10.33,3824.19,5.0,75.0,29.44,1,0,47.895791583166336
22,11.81,4157.51,5.0,75.0,16.76,1,0,47.79559118236473
23,12.53,4320.09,5.0,75.0,15.22,1,0,47.69539078156313
24,13.35,4504.51,5.0,75.0,13.35,1,0,47.59519038076152
25,13.89,4625.05,5.0,75.0,24.09,1,0,47.49498997995992
26,14.48,4758.75,5.0,75.0,13.43,1,0,47.394789579158314
27,15.6,1607.27,5.0,75.0,11.88,2,0,47.294589178356716
28,16.12,1700.96,5.0,75.0,14.99,2,0,47.19438877755511
29,17.33,1920.3,5.0,75.0,11.46,2,0,47.09418837675351
30,18.33,2099.04,5.0,75.0,26.94,2,0,46.9939879759519
31,19.51,2311.77,5.0,75.0,29.87,2,0,46.8937875751503
32,20.63,2514.08,5.0,75.0,19.21,2,0,46.793587174348694
33,21.15,2606.69,5.0,75.0,12.38,2,0,46.6933867735471
34,22.22,2798.78,5.0,75.0,21.07,2,0,46.59318637274549
35,23.18,2973.25,5.0,75.0,28.49,2,0,46.49298597194389
36,24.31,3175.74,5.0,75.0,25.6,2,0,46.392785571142284
37,25.33,3359.21,5.0,75.0,27.16,2,0,46.29258517034068
38,26.72,3609.17,5.0,75.0,14.8,2,0,46.192384769539075
39,27.27,3708.74,5.0,75.0,25.91,2,0,46.09218436873748
40,28.0,3839.98,5.0,75.0,14.64,2,0,45.99198396793587
41,29.33,4080.08,5.0,75.0,21.07,2,0,45.89178356713427
42,30.31,1546.22,5.0,75.0,17.83,3,0,45.791583166332664
43,30.93,1640.06,5.0,75.0,18.37,3,0,45.69138276553106
44,31.93,1789.78,5.0,75.0,19.15,3,0,45.59118236472946
45,32.57,1885.77,5.0,75.0,20.26,3,0,45.49098196392786
46,33.26,1988.42,5.0,75.0,11.3,3,0,45.390781563126254
47,34.18,2127.54,5.0,75.0,22.53,3,0,45.29058116232465
48,35.36,2304.43,5.0,75.0,19.41,3,0,45.190380761523045
49,36.24,2435.83,5.0,75.0,22.8,3,0,45.09018036072144
50,37.59,2638.2,5.0,75.0,27.49,3,0,44.989979959919836
51,38.22,2733.63,5.0,75.0,22.61,3,0,44.88977955911824
52,38.74,2811.42,5.0,75.0,27.77,3,0,44.789579158316634
